"Assert","A_Passed","A_Failed","A_Total","B_Passed","B_Failed","B_Total"
"A01","0","3","3","3","0","3"
"A02","0","3","3","3","0","3"
"A03","3","0","3","3","0","3"
"A04","3","0","3","3","0","3"
"A05","0","3","3","3","0","3"
"A06","0","3","3","3","0","3"
"A06b","0","3","3","3","0","3"
"A07","3","0","3","3","0","3"
"A07b","0","3","3","3","0","3"
"A08","0","3","3","3","0","3"
"A08b","3","0","3","3","0","3"
"A09","0","3","3","3","0","3"
"A09b","3","0","3","3","0","3"
"A10","0","3","3","0","3","3"
"A11","3","0","3","3","0","3"
"A12","3","0","3","3","0","3"
"A12b","3","0","3","3","0","3"
"A12c","0","3","3","3","0","3"
"A13","3","0","3","3","0","3"
"A13b","9","0","9","9","0","9"
"A13c","3","0","3","3","0","3"
"A14","0","12","12","12","0","12"
"A14b","0","3","3","3","0","3"
"A14c","0","3","3","3","0","3"
"A15","0","12","12","12","0","12"
"A15b","0","3","3","3","0","3"
"A15c","3","0","3","3","0","3"
"A16","0","3","3","3","0","3"
"A16b","0","3","3","3","0","3"
"A16c","0","3","3","3","0","3"
"A16d","0","3","3","3","0","3"
"A17","0","3","3","3","0","3"
"A17b","3","0","3","3","0","3"
"A18","0","3","3","3","0","3"
"A18b","0","3","3","3","0","3"
"A18c","0","3","3","3","0","3"
"A19","0","3","3","3","0","3"
"A20","0","3","3","3","0","3"
"A21","3","0","3","3","0","3"
"A22","0","3","3","3","0","3"
"A22b","0","3","3","3","0","3"
"A22c","3","0","3","3","0","3"
"A23","0","12","12","12","0","12"
"A23b","3","0","3","3","0","3"
"A24","12","0","12","12","0","12"
"A24b","3","0","3","3","0","3"
"A25","9","0","9","9","0","9"
"A25b","3","0","3","3","0","3"
"A26","0","3","3","3","0","3"
"A26b","0","3","3","3","0","3"
"A26c","3","0","3","3","0","3"
"A27","0","18","18","18","0","18"
"A27b","0","3","3","3","0","3"
"A27c","3","0","3","3","0","3"
"A28","3","0","3","3","0","3"
"A28b","3","0","3","3","0","3"
"A28c","3","0","3","3","0","3"
"B01","0","3","3","3","0","3"
"B02","0","3","3","3","0","3"
"B03","0","3","3","3","0","3"
"B04","3","0","3","3","0","3"
"B05","3","0","3","3","0","3"
"B06","0","3","3","3","0","3"
"B06b","3","0","3","3","0","3"
"B07","0","3","3","3","0","3"
"B08","0","3","3","0","3","3"
"B09","0","3","3","0","3","3"
"B10","0","3","3","3","0","3"
"B10b","3","0","3","3","0","3"
"B11","3","0","3","3","0","3"
"B11b","3","0","3","3","0","3"
"C01","3","0","3","3","0","3"
"C02","0","3","3","0","3","3"
"C03","3","0","3","3","0","3"
"C04","0","3","3","3","0","3"
"C05","12","0","12","12","0","12"
"C06","3","0","3","3","0","3"
